epoch,train_loss,val_loss,dice,iou,pixel_acc,precision,recall,specificity,f1
1,1.6895506878693898,1.4700599511464436,0.2687617614865303,0.16849465544025102,0.9390834172566732,0.2084687277674675,0.3808578997850418,0.9565573930740356,0.2687640463312467
2,1.4273023804028828,1.2582995891571045,0.4778663019339244,0.34141407410303753,0.968775749206543,0.49241753419240314,0.4887748459974925,0.9864556392033895,0.4778670271237691
3,1.2475655376911163,1.0819377899169922,0.6049559911092123,0.47273369630177814,0.9716974894205729,0.5810869137446085,0.6558028707901636,0.9872069756189982,0.6049564878145853
4,1.118159994482994,1.0627029339472454,0.45959190527598065,0.32290270924568176,0.949833869934082,0.3518165747324626,0.7406332592169443,0.9622140328089396,0.45959262053171795
5,1.038613349199295,0.9969106316566467,0.5878141820430756,0.4562385827302933,0.9725472132364908,0.556950440009435,0.6718218376239141,0.9884847005208334,0.5878147582213084
6,0.9640233914057413,0.8992845813433329,0.6336359332005183,0.5257487470904986,0.9772548675537109,0.6872712969779968,0.6478266219298044,0.994402011235555,0.6336364497741064
7,0.8775734206040701,0.8675315777460734,0.6017837226390839,0.4730171064535777,0.9744968414306641,0.5851529041926066,0.7029260893662771,0.9902021288871765,0.6017842243115107
8,0.8320172677437464,0.8120258450508118,0.5726447999477386,0.42365587254365283,0.971934954325358,0.5276593466599783,0.7366494238376617,0.9858992695808411,0.5726452569166819
9,0.8089000135660172,0.8605941534042358,0.6496105392773946,0.5457847714424133,0.9787022272745768,0.7554182012875875,0.6319650163253149,0.9961912433306376,0.6496109565099081
10,0.7767925063769022,0.8558763265609741,0.5434071818987528,0.3966314842303594,0.9629844029744467,0.4405013124148051,0.7423948248227438,0.9759491086006165,0.5434077580769857
11,0.737927091618379,0.7517054279645284,0.638663132985433,0.5156851261854172,0.9763523737589518,0.6438759863376617,0.6979188521703085,0.9917879700660706,0.638663520415624
12,0.7245430275797844,0.7466853260993958,0.6313583453496298,0.5224037989974022,0.9784326553344727,0.7534699440002441,0.6131385912497839,0.9963689049084982,0.6313587526480356
13,0.6612472236156464,0.7169916232426962,0.6017599801222483,0.46489186584949493,0.9739135106404623,0.573765903711319,0.7096712589263916,0.989012618859609,0.6017604370911916
